sub_basin_number,basin_name,subbasin_name,subbasin,acres,sq_miles,priority,popup_html
1-021,Fort Bragg Terrace Area,Fort Bragg Terrace Area,Fort Bragg Terrace Area,"23,898",37,Very Low,"<table><tr><th font-size: 12px;>Basin: </th><td style=""text-align:right; font-size: 12px;"">Fort Bragg Terrace Area</td></tr><tr><th font-size: 12px;>Subbasin: </th><td style=""text-align:right; font-size: 12px;"">Fort Bragg Terrace Area</td></tr><tr><th font-size: 12px;>Acres: </th><td style=""text-align:right; font-size: 12px;"">23,898</td></tr><tr><th font-size: 12px;>Square Miles: </th><td style=""text-align:right; font-size: 12px;"">37</td></tr><tr><th font-size: 12px;>Subbasin Number: </th><td style=""text-align:right; font-size: 12px;"">1-021</td></tr><tr><th font-size: 12px;>Basin Priority: </th><td style=""text-align:right; font-size: 12px;"">Very Low</td></tr></table>"
1-056,Mcdowell Valley,Mcdowell Valley,Mcdowell Valley,"1,488",2,Very Low,"<table><tr><th font-size: 12px;>Basin: </th><td style=""text-align:right; font-size: 12px;"">Mcdowell Valley</td></tr><tr><th font-size: 12px;>Subbasin: </th><td style=""text-align:right; font-size: 12px;"">Mcdowell Valley</td></tr><tr><th font-size: 12px;>Acres: </th><td style=""text-align:right; font-size: 12px;"">1,488</td></tr><tr><th font-size: 12px;>Square Miles: </th><td style=""text-align:right; font-size: 12px;"">2</td></tr><tr><th font-size: 12px;>Subbasin Number: </th><td style=""text-align:right; font-size: 12px;"">1-056</td></tr><tr><th font-size: 12px;>Basin Priority: </th><td style=""text-align:right; font-size: 12px;"">Very Low</td></tr></table>"
5-017,Burns Valley,Burns Valley,Burns Valley,"2,875",4,Very Low,"<table><tr><th font-size: 12px;>Basin: </th><td style=""text-align:right; font-size: 12px;"">Burns Valley</td></tr><tr><th font-size: 12px;>Subbasin: </th><td style=""text-align:right; font-size: 12px;"">Burns Valley</td></tr><tr><th font-size: 12px;>Acres: </th><td style=""text-align:right; font-size: 12px;"">2,875</td></tr><tr><th font-size: 12px;>Square Miles: </th><td style=""text-align:right; font-size: 12px;"">4</td></tr><tr><th font-size: 12px;>Subbasin Number: </th><td style=""text-align:right; font-size: 12px;"">5-017</td></tr><tr><th font-size: 12px;>Basin Priority: </th><td style=""text-align:right; font-size: 12px;"">Very Low</td></tr></table>"
1-020,Garcia River Valley,Garcia River Valley,Garcia River Valley,"2,200",3,Very Low,"<table><tr><th font-size: 12px;>Basin: </th><td style=""text-align:right; font-size: 12px;"">Garcia River Valley</td></tr><tr><th font-size: 12px;>Subbasin: </th><td style=""text-align:right; font-size: 12px;"">Garcia River Valley</td></tr><tr><th font-size: 12px;>Acres: </th><td style=""text-align:right; font-size: 12px;"">2,200</td></tr><tr><th font-size: 12px;>Square Miles: </th><td style=""text-align:right; font-size: 12px;"">3</td></tr><tr><th font-size: 12px;>Subbasin Number: </th><td style=""text-align:right; font-size: 12px;"">1-020</td></tr><tr><th font-size: 12px;>Basin Priority: </th><td style=""text-align:right; font-size: 12px;"">Very Low</td></tr></table>"
5-015,Big Valley,Big Valley,Big Valley,"24,231",38,Medium,"<table><tr><th font-size: 12px;>Basin: </th><td style=""text-align:right; font-size: 12px;"">Big Valley</td></tr><tr><th font-size: 12px;>Subbasin: </th><td style=""text-align:right; font-size: 12px;"">Big Valley</td></tr><tr><th font-size: 12px;>Acres: </th><td style=""text-align:right; font-size: 12px;"">24,231</td></tr><tr><th font-size: 12px;>Square Miles: </th><td style=""text-align:right; font-size: 12px;"">38</td></tr><tr><th font-size: 12px;>Subbasin Number: </th><td style=""text-align:right; font-size: 12px;"">5-015</td></tr><tr><th font-size: 12px;>Basin Priority: </th><td style=""text-align:right; font-size: 12px;"">Medium</td></tr></table>"
1-053,Sanel Valley,Sanel Valley,Sanel Valley,"5,572",9,Very Low,"<table><tr><th font-size: 12px;>Basin: </th><td style=""text-align:right; font-size: 12px;"">Sanel Valley</td></tr><tr><th font-size: 12px;>Subbasin: </th><td style=""text-align:right; font-size: 12px;"">Sanel Valley</td></tr><tr><th font-size: 12px;>Acres: </th><td style=""text-align:right; font-size: 12px;"">5,572</td></tr><tr><th font-size: 12px;>Square Miles: </th><td style=""text-align:right; font-size: 12px;"">9</td></tr><tr><th font-size: 12px;>Subbasin Number: </th><td style=""text-align:right; font-size: 12px;"">1-053</td></tr><tr><th font-size: 12px;>Basin Priority: </th><td style=""text-align:right; font-size: 12px;"">Very Low</td></tr></table>"
5-016,High Valley,High Valley,High Valley,"2,358",4,Very Low,"<table><tr><th font-size: 12px;>Basin: </th><td style=""text-align:right; font-size: 12px;"">High Valley</td></tr><tr><th font-size: 12px;>Subbasin: </th><td style=""text-align:right; font-size: 12px;"">High Valley</td></tr><tr><th font-size: 12px;>Acres: </th><td style=""text-align:right; font-size: 12px;"">2,358</td></tr><tr><th font-size: 12px;>Square Miles: </th><td style=""text-align:right; font-size: 12px;"">4</td></tr><tr><th font-size: 12px;>Subbasin Number: </th><td style=""text-align:right; font-size: 12px;"">5-016</td></tr><tr><th font-size: 12px;>Basin Priority: </th><td style=""text-align:right; font-size: 12px;"">Very Low</td></tr></table>"
5-066,Clear Lake Cache Formation,Clear Lake Cache Formation,Clear Lake Cache Formation,"29,740",46,Very Low,"<table><tr><th font-size: 12px;>Basin: </th><td style=""text-align:right; font-size: 12px;"">Clear Lake Cache Formation</td></tr><tr><th font-size: 12px;>Subbasin: </th><td style=""text-align:right; font-size: 12px;"">Clear Lake Cache Formation</td></tr><tr><th font-size: 12px;>Acres: </th><td style=""text-align:right; font-size: 12px;"">29,740</td></tr><tr><th font-size: 12px;>Square Miles: </th><td style=""text-align:right; font-size: 12px;"">46</td></tr><tr><th font-size: 12px;>Subbasin Number: </th><td style=""text-align:right; font-size: 12px;"">5-066</td></tr><tr><th font-size: 12px;>Basin Priority: </th><td style=""text-align:right; font-size: 12px;"">Very Low</td></tr></table>"
5-014,Scotts Valley,Scotts Valley,Scotts Valley,"7,326",11,Very Low,"<table><tr><th font-size: 12px;>Basin: </th><td style=""text-align:right; font-size: 12px;"">Scotts Valley</td></tr><tr><th font-size: 12px;>Subbasin: </th><td style=""text-align:right; font-size: 12px;"">Scotts Valley</td></tr><tr><th font-size: 12px;>Acres: </th><td style=""text-align:right; font-size: 12px;"">7,326</td></tr><tr><th font-size: 12px;>Square Miles: </th><td style=""text-align:right; font-size: 12px;"">11</td></tr><tr><th font-size: 12px;>Subbasin Number: </th><td style=""text-align:right; font-size: 12px;"">5-014</td></tr><tr><th font-size: 12px;>Basin Priority: </th><td style=""text-align:right; font-size: 12px;"">Very Low</td></tr></table>"
1-019,Anderson Valley,Anderson Valley,Anderson Valley,"4,973",8,Very Low,"<table><tr><th font-size: 12px;>Basin: </th><td style=""text-align:right; font-size: 12px;"">Anderson Valley</td></tr><tr><th font-size: 12px;>Subbasin: </th><td style=""text-align:right; font-size: 12px;"">Anderson Valley</td></tr><tr><th font-size: 12px;>Acres: </th><td style=""text-align:right; font-size: 12px;"">4,973</td></tr><tr><th font-size: 12px;>Square Miles: </th><td style=""text-align:right; font-size: 12px;"">8</td></tr><tr><th font-size: 12px;>Subbasin Number: </th><td style=""text-align:right; font-size: 12px;"">1-019</td></tr><tr><th font-size: 12px;>Basin Priority: </th><td style=""text-align:right; font-size: 12px;"">Very Low</td></tr></table>"
5-031,Long Valley,Long Valley,Long Valley,"2,802",4,Very Low,"<table><tr><th font-size: 12px;>Basin: </th><td style=""text-align:right; font-size: 12px;"">Long Valley</td></tr><tr><th font-size: 12px;>Subbasin: </th><td style=""text-align:right; font-size: 12px;"">Long Valley</td></tr><tr><th font-size: 12px;>Acres: </th><td style=""text-align:right; font-size: 12px;"">2,802</td></tr><tr><th font-size: 12px;>Square Miles: </th><td style=""text-align:right; font-size: 12px;"">4</td></tr><tr><th font-size: 12px;>Subbasin Number: </th><td style=""text-align:right; font-size: 12px;"">5-031</td></tr><tr><th font-size: 12px;>Basin Priority: </th><td style=""text-align:right; font-size: 12px;"">Very Low</td></tr></table>"
5-092,Blanchard Valley,Blanchard Valley,Blanchard Valley,"2,223",4,Very Low,"<table><tr><th font-size: 12px;>Basin: </th><td style=""text-align:right; font-size: 12px;"">Blanchard Valley</td></tr><tr><th font-size: 12px;>Subbasin: </th><td style=""text-align:right; font-size: 12px;"">Blanchard Valley</td></tr><tr><th font-size: 12px;>Acres: </th><td style=""text-align:right; font-size: 12px;"">2,223</td></tr><tr><th font-size: 12px;>Square Miles: </th><td style=""text-align:right; font-size: 12px;"">4</td></tr><tr><th font-size: 12px;>Subbasin Number: </th><td style=""text-align:right; font-size: 12px;"">5-092</td></tr><tr><th font-size: 12px;>Basin Priority: </th><td style=""text-align:right; font-size: 12px;"">Very Low</td></tr></table>"
6-005.02,Tahoe Valley,"Tahoe Valley, Tahoe West",Tahoe West,"6,168",10,Very Low,"<table><tr><th font-size: 12px;>Basin: </th><td style=""text-align:right; font-size: 12px;"">Tahoe Valley</td></tr><tr><th font-size: 12px;>Subbasin: </th><td style=""text-align:right; font-size: 12px;"">Tahoe West</td></tr><tr><th font-size: 12px;>Acres: </th><td style=""text-align:right; font-size: 12px;"">6,168</td></tr><tr><th font-size: 12px;>Square Miles: </th><td style=""text-align:right; font-size: 12px;"">10</td></tr><tr><th font-size: 12px;>Subbasin Number: </th><td style=""text-align:right; font-size: 12px;"">6-005.02</td></tr><tr><th font-size: 12px;>Basin Priority: </th><td style=""text-align:right; font-size: 12px;"">Very Low</td></tr></table>"
6-108,Olympic Valley,Olympic Valley,Olympic Valley,702,1,Very Low,"<table><tr><th font-size: 12px;>Basin: </th><td style=""text-align:right; font-size: 12px;"">Olympic Valley</td></tr><tr><th font-size: 12px;>Subbasin: </th><td style=""text-align:right; font-size: 12px;"">Olympic Valley</td></tr><tr><th font-size: 12px;>Acres: </th><td style=""text-align:right; font-size: 12px;"">702</td></tr><tr><th font-size: 12px;>Square Miles: </th><td style=""text-align:right; font-size: 12px;"">1</td></tr><tr><th font-size: 12px;>Subbasin Number: </th><td style=""text-align:right; font-size: 12px;"">6-108</td></tr><tr><th font-size: 12px;>Basin Priority: </th><td style=""text-align:right; font-size: 12px;"">Very Low</td></tr></table>"
5-013,Upper Lake Valley,Upper Lake Valley,Upper Lake Valley,"7,266",11,Very Low,"<table><tr><th font-size: 12px;>Basin: </th><td style=""text-align:right; font-size: 12px;"">Upper Lake Valley</td></tr><tr><th font-size: 12px;>Subbasin: </th><td style=""text-align:right; font-size: 12px;"">Upper Lake Valley</td></tr><tr><th font-size: 12px;>Acres: </th><td style=""text-align:right; font-size: 12px;"">7,266</td></tr><tr><th font-size: 12px;>Square Miles: </th><td style=""text-align:right; font-size: 12px;"">11</td></tr><tr><th font-size: 12px;>Subbasin Number: </th><td style=""text-align:right; font-size: 12px;"">5-013</td></tr><tr><th font-size: 12px;>Basin Priority: </th><td style=""text-align:right; font-size: 12px;"">Very Low</td></tr></table>"
1-046,Navarro River Valley,Navarro River Valley,Navarro River Valley,768,1,Very Low,"<table><tr><th font-size: 12px;>Basin: </th><td style=""text-align:right; font-size: 12px;"">Navarro River Valley</td></tr><tr><th font-size: 12px;>Subbasin: </th><td style=""text-align:right; font-size: 12px;"">Navarro River Valley</td></tr><tr><th font-size: 12px;>Acres: </th><td style=""text-align:right; font-size: 12px;"">768</td></tr><tr><th font-size: 12px;>Square Miles: </th><td style=""text-align:right; font-size: 12px;"">1</td></tr><tr><th font-size: 12px;>Subbasin Number: </th><td style=""text-align:right; font-size: 12px;"">1-046</td></tr><tr><th font-size: 12px;>Basin Priority: </th><td style=""text-align:right; font-size: 12px;"">Very Low</td></tr></table>"
5-064,Bear Valley,Bear Valley,Bear Valley,"9,111",14,Very Low,"<table><tr><th font-size: 12px;>Basin: </th><td style=""text-align:right; font-size: 12px;"">Bear Valley</td></tr><tr><th font-size: 12px;>Subbasin: </th><td style=""text-align:right; font-size: 12px;"">Bear Valley</td></tr><tr><th font-size: 12px;>Acres: </th><td style=""text-align:right; font-size: 12px;"">9,111</td></tr><tr><th font-size: 12px;>Square Miles: </th><td style=""text-align:right; font-size: 12px;"">14</td></tr><tr><th font-size: 12px;>Subbasin Number: </th><td style=""text-align:right; font-size: 12px;"">5-064</td></tr><tr><th font-size: 12px;>Basin Priority: </th><td style=""text-align:right; font-size: 12px;"">Very Low</td></tr></table>"
6-005.03,Tahoe Valley,"Tahoe Valley, Tahoe North",Tahoe North,"1,930",3,Very Low,"<table><tr><th font-size: 12px;>Basin: </th><td style=""text-align:right; font-size: 12px;"">Tahoe Valley</td></tr><tr><th font-size: 12px;>Subbasin: </th><td style=""text-align:right; font-size: 12px;"">Tahoe North</td></tr><tr><th font-size: 12px;>Acres: </th><td style=""text-align:right; font-size: 12px;"">1,930</td></tr><tr><th font-size: 12px;>Square Miles: </th><td style=""text-align:right; font-size: 12px;"">3</td></tr><tr><th font-size: 12px;>Subbasin Number: </th><td style=""text-align:right; font-size: 12px;"">6-005.03</td></tr><tr><th font-size: 12px;>Basin Priority: </th><td style=""text-align:right; font-size: 12px;"">Very Low</td></tr></table>"
5-094,Middle Creek,Middle Creek,Middle Creek,705,1,Very Low,"<table><tr><th font-size: 12px;>Basin: </th><td style=""text-align:right; font-size: 12px;"">Middle Creek</td></tr><tr><th font-size: 12px;>Subbasin: </th><td style=""text-align:right; font-size: 12px;"">Middle Creek</td></tr><tr><th font-size: 12px;>Acres: </th><td style=""text-align:right; font-size: 12px;"">705</td></tr><tr><th font-size: 12px;>Square Miles: </th><td style=""text-align:right; font-size: 12px;"">1</td></tr><tr><th font-size: 12px;>Subbasin Number: </th><td style=""text-align:right; font-size: 12px;"">5-094</td></tr><tr><th font-size: 12px;>Basin Priority: </th><td style=""text-align:right; font-size: 12px;"">Very Low</td></tr></table>"
5-065,Little Indian Valley,Little Indian Valley,Little Indian Valley,"1,270",2,Very Low,"<table><tr><th font-size: 12px;>Basin: </th><td style=""text-align:right; font-size: 12px;"">Little Indian Valley</td></tr><tr><th font-size: 12px;>Subbasin: </th><td style=""text-align:right; font-size: 12px;"">Little Indian Valley</td></tr><tr><th font-size: 12px;>Acres: </th><td style=""text-align:right; font-size: 12px;"">1,270</td></tr><tr><th font-size: 12px;>Square Miles: </th><td style=""text-align:right; font-size: 12px;"">2</td></tr><tr><th font-size: 12px;>Subbasin Number: </th><td style=""text-align:right; font-size: 12px;"">5-065</td></tr><tr><th font-size: 12px;>Basin Priority: </th><td style=""text-align:right; font-size: 12px;"">Very Low</td></tr></table>"
5-091,Antelope Creek,Antelope Creek,Antelope Creek,"2,041",3,Very Low,"<table><tr><th font-size: 12px;>Basin: </th><td style=""text-align:right; font-size: 12px;"">Antelope Creek</td></tr><tr><th font-size: 12px;>Subbasin: </th><td style=""text-align:right; font-size: 12px;"">Antelope Creek</td></tr><tr><th font-size: 12px;>Acres: </th><td style=""text-align:right; font-size: 12px;"">2,041</td></tr><tr><th font-size: 12px;>Square Miles: </th><td style=""text-align:right; font-size: 12px;"">3</td></tr><tr><th font-size: 12px;>Subbasin Number: </th><td style=""text-align:right; font-size: 12px;"">5-091</td></tr><tr><th font-size: 12px;>Basin Priority: </th><td style=""text-align:right; font-size: 12px;"">Very Low</td></tr></table>"
1-052,Ukiah Valley,Ukiah Valley,Ukiah Valley,"37,537",59,Medium,"<table><tr><th font-size: 12px;>Basin: </th><td style=""text-align:right; font-size: 12px;"">Ukiah Valley</td></tr><tr><th font-size: 12px;>Subbasin: </th><td style=""text-align:right; font-size: 12px;"">Ukiah Valley</td></tr><tr><th font-size: 12px;>Acres: </th><td style=""text-align:right; font-size: 12px;"">37,537</td></tr><tr><th font-size: 12px;>Square Miles: </th><td style=""text-align:right; font-size: 12px;"">59</td></tr><tr><th font-size: 12px;>Subbasin Number: </th><td style=""text-align:right; font-size: 12px;"">1-052</td></tr><tr><th font-size: 12px;>Basin Priority: </th><td style=""text-align:right; font-size: 12px;"">Medium</td></tr></table>"
1-045,Big River Valley,Big River Valley,Big River Valley,"1,686",3,Very Low,"<table><tr><th font-size: 12px;>Basin: </th><td style=""text-align:right; font-size: 12px;"">Big River Valley</td></tr><tr><th font-size: 12px;>Subbasin: </th><td style=""text-align:right; font-size: 12px;"">Big River Valley</td></tr><tr><th font-size: 12px;>Acres: </th><td style=""text-align:right; font-size: 12px;"">1,686</td></tr><tr><th font-size: 12px;>Square Miles: </th><td style=""text-align:right; font-size: 12px;"">3</td></tr><tr><th font-size: 12px;>Subbasin Number: </th><td style=""text-align:right; font-size: 12px;"">1-045</td></tr><tr><th font-size: 12px;>Basin Priority: </th><td style=""text-align:right; font-size: 12px;"">Very Low</td></tr></table>"
1-051,Potter Valley,Potter Valley,Potter Valley,"8,243",13,Very Low,"<table><tr><th font-size: 12px;>Basin: </th><td style=""text-align:right; font-size: 12px;"">Potter Valley</td></tr><tr><th font-size: 12px;>Subbasin: </th><td style=""text-align:right; font-size: 12px;"">Potter Valley</td></tr><tr><th font-size: 12px;>Acres: </th><td style=""text-align:right; font-size: 12px;"">8,243</td></tr><tr><th font-size: 12px;>Square Miles: </th><td style=""text-align:right; font-size: 12px;"">13</td></tr><tr><th font-size: 12px;>Subbasin Number: </th><td style=""text-align:right; font-size: 12px;"">1-051</td></tr><tr><th font-size: 12px;>Basin Priority: </th><td style=""text-align:right; font-size: 12px;"">Very Low</td></tr></table>"
6-067,Martis Valley,Martis Valley,Martis Valley,"36,357",57,Very Low,"<table><tr><th font-size: 12px;>Basin: </th><td style=""text-align:right; font-size: 12px;"">Martis Valley</td></tr><tr><th font-size: 12px;>Subbasin: </th><td style=""text-align:right; font-size: 12px;"">Martis Valley</td></tr><tr><th font-size: 12px;>Acres: </th><td style=""text-align:right; font-size: 12px;"">36,357</td></tr><tr><th font-size: 12px;>Square Miles: </th><td style=""text-align:right; font-size: 12px;"">57</td></tr><tr><th font-size: 12px;>Subbasin Number: </th><td style=""text-align:right; font-size: 12px;"">6-067</td></tr><tr><th font-size: 12px;>Basin Priority: </th><td style=""text-align:right; font-size: 12px;"">Very Low</td></tr></table>"
5-090,Funks Creek,Funks Creek,Funks Creek,"3,014",5,Very Low,"<table><tr><th font-size: 12px;>Basin: </th><td style=""text-align:right; font-size: 12px;"">Funks Creek</td></tr><tr><th font-size: 12px;>Subbasin: </th><td style=""text-align:right; font-size: 12px;"">Funks Creek</td></tr><tr><th font-size: 12px;>Acres: </th><td style=""text-align:right; font-size: 12px;"">3,014</td></tr><tr><th font-size: 12px;>Square Miles: </th><td style=""text-align:right; font-size: 12px;"">5</td></tr><tr><th font-size: 12px;>Subbasin Number: </th><td style=""text-align:right; font-size: 12px;"">5-090</td></tr><tr><th font-size: 12px;>Basin Priority: </th><td style=""text-align:right; font-size: 12px;"">Very Low</td></tr></table>"
5-063,Stonyford Town Area,Stonyford Town Area,Stonyford Town Area,"6,442",10,Very Low,"<table><tr><th font-size: 12px;>Basin: </th><td style=""text-align:right; font-size: 12px;"">Stonyford Town Area</td></tr><tr><th font-size: 12px;>Subbasin: </th><td style=""text-align:right; font-size: 12px;"">Stonyford Town Area</td></tr><tr><th font-size: 12px;>Acres: </th><td style=""text-align:right; font-size: 12px;"">6,442</td></tr><tr><th font-size: 12px;>Square Miles: </th><td style=""text-align:right; font-size: 12px;"">10</td></tr><tr><th font-size: 12px;>Subbasin Number: </th><td style=""text-align:right; font-size: 12px;"">5-063</td></tr><tr><th font-size: 12px;>Basin Priority: </th><td style=""text-align:right; font-size: 12px;"">Very Low</td></tr></table>"
1-048,Gravelly Valley,Gravelly Valley,Gravelly Valley,"2,976",5,Very Low,"<table><tr><th font-size: 12px;>Basin: </th><td style=""text-align:right; font-size: 12px;"">Gravelly Valley</td></tr><tr><th font-size: 12px;>Subbasin: </th><td style=""text-align:right; font-size: 12px;"">Gravelly Valley</td></tr><tr><th font-size: 12px;>Acres: </th><td style=""text-align:right; font-size: 12px;"">2,976</td></tr><tr><th font-size: 12px;>Square Miles: </th><td style=""text-align:right; font-size: 12px;"">5</td></tr><tr><th font-size: 12px;>Subbasin Number: </th><td style=""text-align:right; font-size: 12px;"">1-048</td></tr><tr><th font-size: 12px;>Basin Priority: </th><td style=""text-align:right; font-size: 12px;"">Very Low</td></tr></table>"
1-013,Little Lake Valley,Little Lake Valley,Little Lake Valley,"10,026",16,Very Low,"<table><tr><th font-size: 12px;>Basin: </th><td style=""text-align:right; font-size: 12px;"">Little Lake Valley</td></tr><tr><th font-size: 12px;>Subbasin: </th><td style=""text-align:right; font-size: 12px;"">Little Lake Valley</td></tr><tr><th font-size: 12px;>Acres: </th><td style=""text-align:right; font-size: 12px;"">10,026</td></tr><tr><th font-size: 12px;>Square Miles: </th><td style=""text-align:right; font-size: 12px;"">16</td></tr><tr><th font-size: 12px;>Subbasin Number: </th><td style=""text-align:right; font-size: 12px;"">1-013</td></tr><tr><th font-size: 12px;>Basin Priority: </th><td style=""text-align:right; font-size: 12px;"">Very Low</td></tr></table>"
5-089,Squaw Flat,Squaw Flat,Squaw Flat,"1,294",2,Very Low,"<table><tr><th font-size: 12px;>Basin: </th><td style=""text-align:right; font-size: 12px;"">Squaw Flat</td></tr><tr><th font-size: 12px;>Subbasin: </th><td style=""text-align:right; font-size: 12px;"">Squaw Flat</td></tr><tr><th font-size: 12px;>Acres: </th><td style=""text-align:right; font-size: 12px;"">1,294</td></tr><tr><th font-size: 12px;>Square Miles: </th><td style=""text-align:right; font-size: 12px;"">2</td></tr><tr><th font-size: 12px;>Subbasin Number: </th><td style=""text-align:right; font-size: 12px;"">5-089</td></tr><tr><th font-size: 12px;>Basin Priority: </th><td style=""text-align:right; font-size: 12px;"">Very Low</td></tr></table>"
5-088,Stony Gorge Reservoir,Stony Gorge Reservoir,Stony Gorge Reservoir,"1,066",2,Very Low,"<table><tr><th font-size: 12px;>Basin: </th><td style=""text-align:right; font-size: 12px;"">Stony Gorge Reservoir</td></tr><tr><th font-size: 12px;>Subbasin: </th><td style=""text-align:right; font-size: 12px;"">Stony Gorge Reservoir</td></tr><tr><th font-size: 12px;>Acres: </th><td style=""text-align:right; font-size: 12px;"">1,066</td></tr><tr><th font-size: 12px;>Square Miles: </th><td style=""text-align:right; font-size: 12px;"">2</td></tr><tr><th font-size: 12px;>Subbasin Number: </th><td style=""text-align:right; font-size: 12px;"">5-088</td></tr><tr><th font-size: 12px;>Basin Priority: </th><td style=""text-align:right; font-size: 12px;"">Very Low</td></tr></table>"
1-041,Little Valley,Little Valley,Little Valley,812,1,Very Low,"<table><tr><th font-size: 12px;>Basin: </th><td style=""text-align:right; font-size: 12px;"">Little Valley</td></tr><tr><th font-size: 12px;>Subbasin: </th><td style=""text-align:right; font-size: 12px;"">Little Valley</td></tr><tr><th font-size: 12px;>Acres: </th><td style=""text-align:right; font-size: 12px;"">812</td></tr><tr><th font-size: 12px;>Square Miles: </th><td style=""text-align:right; font-size: 12px;"">1</td></tr><tr><th font-size: 12px;>Subbasin Number: </th><td style=""text-align:right; font-size: 12px;"">1-041</td></tr><tr><th font-size: 12px;>Basin Priority: </th><td style=""text-align:right; font-size: 12px;"">Very Low</td></tr></table>"
1-042,Sherwood Valley,Sherwood Valley,Sherwood Valley,"1,151",2,Very Low,"<table><tr><th font-size: 12px;>Basin: </th><td style=""text-align:right; font-size: 12px;"">Sherwood Valley</td></tr><tr><th font-size: 12px;>Subbasin: </th><td style=""text-align:right; font-size: 12px;"">Sherwood Valley</td></tr><tr><th font-size: 12px;>Acres: </th><td style=""text-align:right; font-size: 12px;"">1,151</td></tr><tr><th font-size: 12px;>Square Miles: </th><td style=""text-align:right; font-size: 12px;"">2</td></tr><tr><th font-size: 12px;>Subbasin Number: </th><td style=""text-align:right; font-size: 12px;"">1-042</td></tr><tr><th font-size: 12px;>Basin Priority: </th><td style=""text-align:right; font-size: 12px;"">Very Low</td></tr></table>"
1-040,Ten Mile River Valley,Ten Mile River Valley,Ten Mile River Valley,"1,491",2,Very Low,"<table><tr><th font-size: 12px;>Basin: </th><td style=""text-align:right; font-size: 12px;"">Ten Mile River Valley</td></tr><tr><th font-size: 12px;>Subbasin: </th><td style=""text-align:right; font-size: 12px;"">Ten Mile River Valley</td></tr><tr><th font-size: 12px;>Acres: </th><td style=""text-align:right; font-size: 12px;"">1,491</td></tr><tr><th font-size: 12px;>Square Miles: </th><td style=""text-align:right; font-size: 12px;"">2</td></tr><tr><th font-size: 12px;>Subbasin Number: </th><td style=""text-align:right; font-size: 12px;"">1-040</td></tr><tr><th font-size: 12px;>Basin Priority: </th><td style=""text-align:right; font-size: 12px;"">Very Low</td></tr></table>"
5-062,Elk Creek Area,Elk Creek Area,Elk Creek Area,"1,439",2,Very Low,"<table><tr><th font-size: 12px;>Basin: </th><td style=""text-align:right; font-size: 12px;"">Elk Creek Area</td></tr><tr><th font-size: 12px;>Subbasin: </th><td style=""text-align:right; font-size: 12px;"">Elk Creek Area</td></tr><tr><th font-size: 12px;>Acres: </th><td style=""text-align:right; font-size: 12px;"">1,439</td></tr><tr><th font-size: 12px;>Square Miles: </th><td style=""text-align:right; font-size: 12px;"">2</td></tr><tr><th font-size: 12px;>Subbasin Number: </th><td style=""text-align:right; font-size: 12px;"">5-062</td></tr><tr><th font-size: 12px;>Basin Priority: </th><td style=""text-align:right; font-size: 12px;"">Very Low</td></tr></table>"
1-044,Eden Valley,Eden Valley,Eden Valley,"1,378",2,Very Low,"<table><tr><th font-size: 12px;>Basin: </th><td style=""text-align:right; font-size: 12px;"">Eden Valley</td></tr><tr><th font-size: 12px;>Subbasin: </th><td style=""text-align:right; font-size: 12px;"">Eden Valley</td></tr><tr><th font-size: 12px;>Acres: </th><td style=""text-align:right; font-size: 12px;"">1,378</td></tr><tr><th font-size: 12px;>Square Miles: </th><td style=""text-align:right; font-size: 12px;"">2</td></tr><tr><th font-size: 12px;>Subbasin Number: </th><td style=""text-align:right; font-size: 12px;"">1-044</td></tr><tr><th font-size: 12px;>Basin Priority: </th><td style=""text-align:right; font-size: 12px;"">Very Low</td></tr></table>"
1-012,Laytonville Valley,Laytonville Valley,Laytonville Valley,"5,024",8,Very Low,"<table><tr><th font-size: 12px;>Basin: </th><td style=""text-align:right; font-size: 12px;"">Laytonville Valley</td></tr><tr><th font-size: 12px;>Subbasin: </th><td style=""text-align:right; font-size: 12px;"">Laytonville Valley</td></tr><tr><th font-size: 12px;>Acres: </th><td style=""text-align:right; font-size: 12px;"">5,024</td></tr><tr><th font-size: 12px;>Square Miles: </th><td style=""text-align:right; font-size: 12px;"">8</td></tr><tr><th font-size: 12px;>Subbasin Number: </th><td style=""text-align:right; font-size: 12px;"">1-012</td></tr><tr><th font-size: 12px;>Basin Priority: </th><td style=""text-align:right; font-size: 12px;"">Very Low</td></tr></table>"
1-039,Branscomb Town Area,Branscomb Town Area,Branscomb Town Area,"1,382",2,Very Low,"<table><tr><th font-size: 12px;>Basin: </th><td style=""text-align:right; font-size: 12px;"">Branscomb Town Area</td></tr><tr><th font-size: 12px;>Subbasin: </th><td style=""text-align:right; font-size: 12px;"">Branscomb Town Area</td></tr><tr><th font-size: 12px;>Acres: </th><td style=""text-align:right; font-size: 12px;"">1,382</td></tr><tr><th font-size: 12px;>Square Miles: </th><td style=""text-align:right; font-size: 12px;"">2</td></tr><tr><th font-size: 12px;>Subbasin Number: </th><td style=""text-align:right; font-size: 12px;"">1-039</td></tr><tr><th font-size: 12px;>Basin Priority: </th><td style=""text-align:right; font-size: 12px;"">Very Low</td></tr></table>"
